Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,40.33,40.33,40.33,40.33,40.33,40.33,40.33,40.22,40.22,40.22,40.22,40.22,40.22,40.22
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.84,3.84,3.84,3.84,3.84,3.84,3.84
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21,21.21
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
