Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,13139.0,13538.0,13865.0,14641.0,14829.0,15474.0,15647.0,16100.0,16107.0,16366.0,15911.0,15274.0,14628.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,14181.0,15170.0,16108.0,16927.0,17784.0,18259.0,18653.0,18863.0,19209.0,19046.0,18702.0,18521.0,17920.0
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,15418.0,16153.0,16854.0,17568.0,17639.0,17786.0,17799.0,17684.0,17836.0,17513.0,17188.0,16370.0,15823.0
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,20078.0,20515.0,21326.0,22070.0,22489.0,23519.0,24207.0,24122.0,24477.0,24775.0,24454.0,23537.0,23189.0
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,24047.0,25070.0,25169.0,25717.0,26261.0,26637.0,26792.0,27572.0,27701.0,26998.0,26476.0,25608.0,24446.0
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,11129.0,12166.0,12752.0,13201.0,13156.0,13462.0,12974.0,12928.0,12933.0,12696.0,12446.0,11753.0,11435.0
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,18014.0,18485.0,18444.0,18400.0,18878.0,19342.0,19726.0,20426.0,20338.0,19742.0,19486.0,19076.0,18751.0
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,20155.0,20527.0,21006.0,21446.0,22799.0,23598.0,24906.0,25910.0,26551.0,26070.0,25436.0,23458.0,22298.0
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,28607.0,30308.0,30934.0,31213.0,31834.0,32853.0,32928.0,33630.0,34292.0,33905.0,33369.0,31748.0,30685.0
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,12533.0,13008.0,13016.0,13233.0,13306.0,13137.0,12950.0,13036.0,13053.0,12420.0,12326.0,12015.0,11474.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,20277.0,22005.0,23527.0,24199.0,24487.0,25583.0,25432.0,25468.0,25342.0,24187.0,23166.0,22268.0,20595.0
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,11615.0,12021.0,11742.0,11662.0,11678.0,11843.0,11761.0,12225.0,12483.0,12462.0,12486.0,12316.0,12086.0
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,45225.0,46209.0,47166.0,48474.0,49914.0,50739.0,51555.0,51659.0,52052.0,50948.0,48994.0,45760.0,44224.0
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,19043.0,20470.0,20982.0,21482.0,22100.0,21237.0,20513.0,20224.0,19907.0,19128.0,18790.0,17951.0,17102.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,222521.0,231154.0,237618.0,243051.0,249954.0,253010.0,258845.0,259100.0,261497.0,259175.0,259891.0,250443.0,244438.0
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,12500.0,12265.0,12231.0,11948.0,10854.0,10275.0,10402.0,12824.0,12819.0,14567.0,16499.0,17188.0,18685.0
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,14156.0,14970.0,15927.0,16924.0,17927.0,18715.0,19308.0,19261.0,19559.0,19541.0,19508.0,18913.0,18556.0
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,11748.0,12402.0,13153.0,13684.0,14239.0,14603.0,14671.0,14333.0,14065.0,13557.0,13002.0,12278.0,12102.0
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7981.0,8061.0,8536.0,8202.0,8077.0,7738.0
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,10589.0,10812.0,11121.0,11125.0,11561.0,11687.0,12024.0,11519.0,11369.0,10928.0,11001.0,10414.0,10261.0
