nace_code,activity_en,energy_efficiency_pct,fuel_share_pct,electricity_share_pct,heat_share_pct,source,source_url
14,Производство одежды,Clothing production,1.7922297682484303,20.562665391382705,76.41593571571163,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
15,Производство кожаной и относящейся к ней продукции,Production of leather and related products,3.5088093584431426,16.128616377493923,81.28961784345773,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
16,"Производство деревянных и пробковых изделий, (кроме мебели), изделий из соломки и материалов для плетения","Production of wooden and cork products, (except furniture), straw products and plaiting materials",1.478670308890475,32.33543079459208,64.87055580995899,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
17,Производство бумаги и бумажной продукции,Production of paper and paper products,3.8087219198180153,23.96335652756742,73.92607058340278,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
18,Печать и воспроизведение записанных материалов,Printing and playback of recorded materials,1.4593228603367707,30.962437193450615,67.8503999840355,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
19,Производство кокса и продуктов нефтепереработки,Production of coke and refined petroleum products,2.6308338187037728,9.638531330173535,46.07494733414987,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
20,Производство химической продукции,Chemical production,7.407528117398908,23.70090139613093,73.76802856404603,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
21,Производство основных фармацевтичес-ких  продуктов и препаратов,Production of basic pharmaceutical products and preparations,3.007045962660281,22.312258475857007,76.02307127884815,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
22,Производство резиновых и пластмассовых изделий,Production of rubber and plastic products,3.300899489883153,4.537290331892532,94.02067723111128,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
23,Производство прочей неметаллической минеральной продукции,Production of other non-metallic mineral products,12.642056641522284,42.04379970921953,51.869940123393356,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
24,Металлургическая промышленность,Metallurgical industry,7.325790797256102,37.28693525564209,62.54430418743928,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
25,"Производство готовых металлических изделий, кроме машин и оборудования","Production of finished metal products, except machinery and equipment",3.273532504197501,8.354292300773203,90.76297854916612,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
26,"Производство компьютеров, электронной и оптической продукции","Production of computers, electronic and optical products",0.1775387367052266,24.684441407063975,68.32580889917732,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
27,Производство электрического оборудования,Production of electrical equipment,1.1798324823607038,8.741529566960635,89.12308960697864,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
