id,file,n_rows,n_meta_cols,n_time,t_start,t_end,monthly,uzb,kaz,kgz,tjk,tkm,n_unique_entities,first_entity,error
2401,sdmx_data_2401.csv,221,5,75,2020-M01,2026-M03,True,1,0,0,0,0,221,Republic of Uzbekistan,
2402,sdmx_data_2402.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2403,sdmx_data_2403.csv,15,5,64,2021-M01,2026-M04,True,1,0,0,0,0,15,Republic of Uzbekistan,
2404,sdmx_data_2404.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2406,sdmx_data_2406.csv,15,5,64,2021-M01,2026-M04,True,1,0,0,0,0,15,Republic of Uzbekistan,
2407,sdmx_data_2407.csv,221,5,75,2020-M01,2026-M03,True,1,0,0,0,0,221,Republic of Uzbekistan,
2414,sdmx_data_2414.csv,221,5,75,2020-M01,2026-M03,True,1,0,0,0,0,221,Republic of Uzbekistan,
2418,sdmx_data_2418.csv,224,5,63,2021-M01,2026-M03,True,0,1,1,1,1,224,Cuba,
244,sdmx_data_244.csv,221,5,13,2014,2026,False,1,0,0,0,0,221,Republic of Uzbekistan,
245,sdmx_data_245.csv,221,5,17,2010,2026,False,1,0,0,0,0,221,Republic of Uzbekistan,
246,sdmx_data_246.csv,221,5,17,2010,2026,False,1,0,0,0,0,221,Republic of Uzbekistan,
247,sdmx_data_247.csv,221,5,17,2010,2026,False,1,0,0,0,0,221,Republic of Uzbekistan,
248,sdmx_data_248.csv,221,5,17,2010,2026,False,1,0,0,0,0,221,Republic of Uzbekistan,
2522,sdmx_data_2522.csv,13,5,16,2010,2025,False,0,0,0,0,0,13,Wholesale and retail trade; repair of motor vehicles and motorcycles,
2629,sdmx_data_2629.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2630,sdmx_data_2630.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2631,sdmx_data_2631.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
2676,sdmx_data_2676.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2677,sdmx_data_2677.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2678,sdmx_data_2678.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2679,sdmx_data_2679.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2680,sdmx_data_2680.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2681,sdmx_data_2681.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2682,sdmx_data_2682.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
2683,sdmx_data_2683.csv,1,5,15,2010,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
