"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Geothermal energy","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2000",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2001",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2002",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2003",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2004",-
"Uzbekistan","Other renewable energy","Heat (Commercial)","2005",-
